award_id,source_award_id,notice_id,procedure_id,lot_id,award_date,award_status,award_value,currency_code,source_id,source_file_id,source_record_id,collected_at
awd_00257,RES-0001,not_0110,pro_0004,lot_00255,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0110,lot_result:RES-0001,2026-08-19
awd_00258,RES-0001,not_0111,pro_0102,lot_00256,2000-01-01,selec-w,360000,EUR,src_ted_opendata,file_ted_0111,lot_result:RES-0001,2026-08-19
awd_00259,RES-0000,not_0112,pro_0103,lot_00257,2000-01-01,selec-w,108491.5,RON,src_ted_opendata,file_ted_0112,lot_result:RES-0000,2026-08-19
awd_00260,RES-0001,not_0113,pro_0004,lot_00258,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0113,lot_result:RES-0001,2026-08-19
awd_00261,RES-0001,not_0114,pro_0104,lot_00259,2000-01-01,selec-w,501124.14,PLN,src_ted_opendata,file_ted_0114,lot_result:RES-0001,2026-08-19
awd_00262,RES-0002,not_0114,pro_0104,lot_00261,2000-01-01,selec-w,1078604.5,PLN,src_ted_opendata,file_ted_0114,lot_result:RES-0002,2026-08-19
awd_00263,RES-0003,not_0114,pro_0104,lot_00260,2000-01-01,selec-w,101104,PLN,src_ted_opendata,file_ted_0114,lot_result:RES-0003,2026-08-19
awd_00264,RES-0004,not_0114,pro_0104,lot_00263,2000-01-01,selec-w,71504,PLN,src_ted_opendata,file_ted_0114,lot_result:RES-0004,2026-08-19
awd_00265,RES-0005,not_0114,pro_0104,lot_00262,2000-01-01,selec-w,35900,PLN,src_ted_opendata,file_ted_0114,lot_result:RES-0005,2026-08-19
awd_00266,RES-0001,not_0115,pro_0105,lot_00264,2000-01-01,selec-w,348911.6,PLN,src_ted_opendata,file_ted_0115,lot_result:RES-0001,2026-08-19
awd_00267,RES-0002,not_0115,pro_0105,lot_00265,2000-01-01,selec-w,1492.8,PLN,src_ted_opendata,file_ted_0115,lot_result:RES-0002,2026-08-19
awd_00268,RES-0003,not_0115,pro_0105,lot_00266,2000-01-01,selec-w,278256,PLN,src_ted_opendata,file_ted_0115,lot_result:RES-0003,2026-08-19
awd_00269,RES-0004,not_0115,pro_0105,lot_00267,2000-01-01,selec-w,156519.2,PLN,src_ted_opendata,file_ted_0115,lot_result:RES-0004,2026-08-19
awd_00270,RES-0005,not_0115,pro_0105,lot_00268,2000-01-01,selec-w,2014.5,PLN,src_ted_opendata,file_ted_0115,lot_result:RES-0005,2026-08-19
awd_00271,RES-0006,not_0115,pro_0105,lot_00269,2000-01-01,selec-w,773692,PLN,src_ted_opendata,file_ted_0115,lot_result:RES-0006,2026-08-19
awd_00272,RES-0007,not_0115,pro_0105,lot_00270,2000-01-01,selec-w,153769.9,PLN,src_ted_opendata,file_ted_0115,lot_result:RES-0007,2026-08-19
